id_x,symbol_x,name_x,coin_id,adoption,Max Supply,Rank,market_cap_x,volume,id,image,current_price,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_price,ath_change_percentage,ath_date,min_price,atl_change_percentage,atl_date,last_updated,forks,stars,subscribers,total_issues,closed_issues,pull_requests_merged,pull_request_contributors,commit_count_4_weeks,code_additions_deletions_4_weeks.additions,code_additions_deletions_4_weeks.deletions,alexa_rank
bitcoin,btc,Bitcoin,bitcoin,71.17,21000000.0,1,515900727464.813,16567763572.521166,bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,26013.0,1,545276596685,13881903696,26668.0,25966.0,-490.5287127452284,-1.85083,-10294741705.80719,-1.99603,19466775.0,21000000.0,69045.0,-62.33152,2021-11-10T14:24:11.849Z,67.81,38254.95596,2013-07-06T00:00:00.000Z,2023-08-24T17:45:38.226Z,35559,70989,3946,7549,7198,10884,834,231,1955.0,-1731.0,9440
cardano,ada,Cardano,ethereum,66.96,,2,202521516559.03595,10412935294.329573,ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,1647.64,2,197689938814,7486328587,1689.23,1642.34,-34.283831761079455,-2.03837,-4831577745.399048,-2.38571,120214161.666801,120214161.666801,4878.26,-66.29942,2021-11-10T14:24:19.604Z,0.432979,379595.73729,2015-10-20T00:00:00.000Z,2023-08-24T17:45:34.905Z,18322,43418,2214,7454,7198,5483,857,96,11828.0,-3800.0,8793
chainlink,link,Chainlink,solana,72.53,,10,8721674946.11647,487327122.7935491,tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1668148663,1.001,3,82878124678,15753423845,1.004,0.996029,0.00162017,0.16213,73708587.0,0.08902,82845776808.287,82845776808.287,1.32,-24.39014,2018-07-24T00:00:00.000Z,0.572521,74.73428,2015-03-02T00:00:00.000Z,2023-08-24T17:45:00.343Z,3140,10545,271,4978,4307,22425,390,187,61504.0,-57936.0,83508
dogecoin,doge,Dogecoin,litecoin,67.65,84000000.0,16,4875115877.877011,538690669.1010507,cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,0.265855,8,11913742690,167114639,0.270932,0.262336,-0.001407906421338312,-0.52679,-106823538.39965248,-1.13824,35045020830.3234,45000000000.0,3.09,-91.42339,2021-09-02T06:00:10.474Z,0.01925275,1275.14072,2020-03-13T02:22:55.044Z,2023-08-24T17:45:40.517Z,3059,4216,507,526,460,119,48,0,0.0,0.0,178888
ethereum,eth,Ethereum,cardano,85.57,45000000000.0,8,9366285621.926718,194704318.68854412,dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.062724,9,8796287875,245292031,0.064318,0.062469,-0.001299375615410756,-2.02953,-241720303.0735321,-2.67449,140723626383.705,140723746383.705,0.731578,-91.45807,2021-05-08T05:08:23.458Z,8.69e-05,71808.19122,2015-05-06T00:00:00.000Z,2023-08-24T17:45:39.850Z,638,3757,462,849,665,1706,80,0,0.0,0.0,42419
litecoin,ltc,Litecoin,chainlink,77.14,1000000000.0,24,3433764347.060491,244083273.00469595,solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1640133422,20.93,10,11610542334,377470876,21.97,20.88,-0.33648796032437644,-1.58211,-200989796.9546957,-2.30449,407770686.493565,555640624.573892,259.96,-91.96009,2021-11-06T21:54:35.825Z,0.500801,4073.40818,2020-05-11T19:35:23.449Z,2023-08-24T17:45:33.841Z,1421,4924,285,410,346,7329,155,247,99286.0,-63667.0,41366
polkadot,dot,Polkadot,dogecoin,62.07,,9,9008773604.28957,373290477.0617855,polkadot,https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1639712644,4.41,12,5929704150,97991595,4.51,4.39,-0.08260551952150763,-1.84065,-125343725.83889675,-2.19941,1267504147.67235,1348478850.78699,54.98,-91.99812,2021-11-04T14:10:09.301Z,2.7,63.09844,2020-08-20T05:48:11.359Z,2023-08-24T17:45:39.141Z,2797,14316,846,1173,1026,1206,158,0,0.0,0.0,145564
solana,sol,Solana,tether,30.77,,3,82804416090.371,16989718751.663355,litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,64.45,16,5406414228,338704819,66.43,64.29,-1.6823304272185595,-2.54371,-139565120.97414303,-2.86281,73576726.9834713,84000000.0,410.26,-84.29497,2021-05-10T03:13:07.904Z,1.15,5508.37904,2015-01-14T00:00:00.000Z,2023-08-24T17:45:39.119Z,0,0,0,0,0,0,0,0,,,74251
tether,usdt,Tether,uniswap,60.0,1000000000.0,21,3638500740.7643456,135797516.1500505,uniswap,https://assets.coingecko.com/coins/images/12504/large/uni.jpg?1687143398,4.65,21,4639476715,93429351,4.83,4.64,-0.17567073372821174,-3.63979,-141417840.7431445,-3.88671,753766667.0,1000000000.0,44.92,-89.65061,2021-05-03T05:25:04.822Z,1.03,351.25973,2020-09-17T01:20:38.214Z,2023-08-24T17:45:32.846Z,0,0,0,0,0,0,0,0,,,3614
uniswap,uni,Uniswap,polkadot,70.27,,12,5698975526.126835,114837174.16711174,chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,6.08,24,6063170550,167855846,6.39,6.06,-0.3053957303643733,-4.78571,-180566798.61999178,-5.24422,538099971.2305644,1000000000.0,52.7,-88.49453,2021-05-10T00:13:57.214Z,0.148183,3991.55235,2017-11-29T00:00:00.000Z,2023-08-24T17:45:40.947Z,1623,7013,495,2124,1604,4115,252,60,65301.0,-26123.0,30578
